begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
02:39.3,02:41.1,5,,,,,Husband_W01_AH,就是我不知道她有什么目的,jiùshì wǒ bù zhīdào tā yǒu shé me mùdì ,It's that I don't know what her purpose is,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,有目的,,,expand:entertain,不知道,
02:41.1,02:45.8,5,,,,,Husband_W01_AH,但是哈这么多年了我们本来以前是很平常的,dànshì hā zhème duōniánle wǒmen běnlái yǐqián shì hěn píngcháng de ,But ha for so many years we used to be very normal,hostess,,,,,,,,,,couple,+ve,judgement,inscribe,,,正常,up:isolated,很,contract:disclaim:counter,但是,
02:45.8,02:47.7,5,,,,,Husband_W01_AH,都比较刻苦,dōu bǐjiào kèkǔ,we both are somewhat hardworking,hostess,,,,,,,,,,couple,+ve,judgement,inscribe,,,刻苦,down:isolated,比较,contract:proclaim,都,
02:47.7,02:49.6,5,,,,,Husband_W01_AH,也吃得苦,yě chī dé kǔ ,And we can endure hardship,hostess,,,,,,,,,,couple,+ve,judgement,inscribe,,,吃苦,,,monoglossic,,
02:49.6,02:52.9,5,,,,,Husband_W01_AH,在家里两个人基本上是没什么分开,zài jiālǐ liǎng gèrén jīběn shàng shì méi shénme fēnkāi ,At home the two of us have basically never separated,hostess,,,,,,,,,,couple,+ve,judgement,invoke,denial,,没分开,down:isolated,基本上,expand:entertain,基本上,
02:52.9,02:56.1,5,,,,,Husband_W01_AH,我们磕磕碰碰啊都二十几年了,wǒmen kē ke pèng pèng a dōu èrshí jǐ niánle ,We have had arguments for more than 20 years,hostess,,,,,,,,,,couple,-ve,judgement,invoke,up-scaling,,磕磕碰碰,up:isolated,二十几年,monoglossic,,
02:56.1,03:00.6,5,,,,,Husband_W01_AH,反正是就这两三年(1.609)她的变化就太大了,fǎnzhèng shì jiù zhè liǎng sān nián (1.609) Tā de biànhuà jiù tài dàle,Anyway in the past two or three years (1.609) she has changed so much ,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,变化,up:isolated,太……了,contract:proclaim,反正,
03:02.9,03:15.7,5,,,,voiceover,,voiceover,,,,,,,,,,,,,,,,,,,,,,,,
03:15.7,03:18.4,6,,,,Husband_W01_AH,Husband_W01_AH,信息电话全部拉黑了,Xìnxī Diànhuà Quánbù lā hēile,She blacklists all my SMS messages and phone calls,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拉黑,up:isolated,全部,monoglossic,,
03:18.4,03:24.5,6,,,,voiceover,,voiceover,,,,,,,,,,,,,,,,,,,,,,,,
