begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
11:01.1,11:02.9,41,,,,,Wife_W02_WW,他就说我跟他联系,tā jiù shuō wǒ gēn tā liánxì ,He just said that I contacted that man,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,contract:proclaim,就,
11:02.9,11:05.5,41,,,,,Wife_W02_WW,我说我没有联系,wǒ shuō wǒ méiyǒu liánxì ,I said I didn't  contact him,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
11:05.5,11:08.6,41,,,,,Wife_W02_WW,我说...朋友圈嘛..现在都是你发我发,wǒ shuō... Péngyǒu quān ma.. Xiànzài dōu shì nǐ fā wǒ fā,I said... WeChat Moments... Now it’s all about posting and reposting,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,嘛
11:08.6,11:10.2,41,,,,,Wife_W02_WW,就这样吵,jiù zhèyàng chǎo ,We just argued like this,hostess,,,,,,,,,,couple,-ve,judgement,inscribe,,,吵,,,monoglossic,,
11:10.2,11:13.0,41,,,,,Wife_W02_WW,吵了我说..反正你不相信我,chǎo le wǒ shuō.. Fǎnzhèng nǐ bù xiāngxìn wǒ ,We argued then I said..anyway you wouldn't believe me,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,quotation:self,,我说,,,monoglossic,,
11:13.0,11:15.5,41,,,,,Wife_W02_WW,那我...明天开始就要聊天,nà wǒ... Míngtiān kāishǐ jiù yào liáotiān,Then I... will start chatting with him from tomorrow,hostess,VoE,,,,,,,,,,,,,,,,,,,,
11:15.5,11:18.6,41,,,,,Wife_W02_WW,当时也是很生气的就这样说,Dāngshí yěshì hěn shēngqì de jiù zhèyàng shuō,I was very angry at the time and said such things out of anger,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,生气,,,contract:proclaim,也,
11:18.6,11:21.4,41,,,,,Wife_W02_WW,他就..伸手过来掐着我的脖子,tā jiù.. Shēnshǒu guòlái qiāzhe wǒ de bózi,He just.. reached out and pinched my neck,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,掐脖子,,,contract:disclaim,就,
11:21.4,11:23.5,41,,,,,Wife_W02_WW,压到床上了,yā dào chuángshàngle,He pressed me on the bed,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,压,,,monoglossic,,
11:23.5,11:24.7,41,,,,,Wife_W02_WW,我用脚踢他,wǒ yòng jiǎo tī tā,I kicked him,hostess,VoE,,,,,,,,,,,,,,,,,,,,
11:24.7,11:27.3,41,,,,,Wife_W02_WW,他就用拳头...蹬我的腿,tā jiù yòng quántóu... Dēng wǒ de tuǐ,He then used his fist...to punch my legs,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,拳头,up:infused,蹬,contract:disclaim,就,
11:27.3,11:30.8,41,,,,,Wife_W02_WW,那时候..腿上就..一块一块青淤,nà shíhòu.. Tuǐ shàng jiù.. Yīkuài yīkuài qīng yū,Immediately.. on my legs.. There were bruises here and there,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,青淤,up:isolated,一块一块,contract:proclaim,就,
11:30.8,11:33.7,41,,,,,Wife_W02_WW,这是他第一次动手打我,zhè shì tā dì yī cì dòngshǒu dǎ wǒ,That was the first time he beat me,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,动手打,,,monoglossic,,
11:34.5,11:36.1,42,,,,Hostess_W02,Hostess_W02,为了一条..朋友圈,Wèile yītiáo.. Péngyǒu quān ,For one..post,wife,,,,,,,,,,,,,,,,,,,,,
11:36.2,11:37.6,43,,,,Wife_W02_WW,Wife_W02_WW,是,shì ,Yes,hostess,IVoE,,,,,,VoE,,,antagonist,-ve,judgement,invoke,up-scaling,,一条朋友圈,,,monoglossic,,
11:38.9,11:40.4,44,,,,Husband_W02_AH,Husband_W02_AH,这个事情不是这种情况,zhège shìqíng bùshì zhè zhǒng qíngkuàng ,This was not the case,hostess,VoE,为了一条朋友圈,VoE,不是这个情况,reject the VE,challenge,VoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,denial,,不是,,,monoglossic,,
11:40.4,11:44.1,44,,,,,Husband_W02_AH,首先是我一个有个同学...是开了开了个宾馆的,shǒuxiān shi wǒ yīgè yǒu gè tóngxué... Shì kāile kāile gè bīnguǎn de ,First of all one of my schoolmates…owned owned a hotel,hostess,VoE,为了一条朋友圈,VoE,首先,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,,,,,,,,,,,,
11:44.1,11:49.3,44,,,,,Husband_W02_AH,那时候我也有..一条..是他宾馆搞活动的,nà shíhòu wǒ yěyǒu.. Yītiáo.. Shì tā bīnguǎn gǎo huódòng de ,At that time I also had.. one post.. about a promotion of his hotel,hostess,,,,,,,,,,,,,,,,,,,,,
11:49.3,11:50.8,44,,,,,Husband_W02_AH,我是没有转发,wǒ shì méiyǒu zhuǎnfā ,I did not repost that message,hostess,,,,,,,,,,,,,,,,,,,,,
11:50.8,11:52.7,44,,,,,Husband_W02_AH,结果她的手机上也有,jiéguǒ tā de shǒujī shàng yěyǒu,It turned out that she also had that message on her phone,hostess,,,,,,,,,,,,,,,,,,,,,
11:52.7,11:55.7,44,,,,,Husband_W02_AH,她跟我同学都不认识,Tā gēn wǒ tóngxué dōu bù rènshí ,She didn't even know my schoolmate,hostess,,,,,,,,,,,,,,,,,,,,,
11:55.7,11:59.1,44,,,,,Husband_W02_AH,结果那个男的手机上也有一条,jiéguǒ nàgè nán de shǒujī shàng yěyǒu yītiáo ,It turned out that that man had the same message on his phone,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,counter-expectancy,,也,,,contract:disclaim,结果,
12:00.5,12:03.3,45,,,,Wife_W02_WW,Wife_W02_WW,我是没有发你同学的...宾馆[信息],wǒ shì méiyǒu fā nǐ tóngxué de... Bīnguǎn xìnxī ,I didn't post your schoolmate's… hotel ==ad message,antagonist,VoE,发信息,VoE,没有,reject the VE,challenge,VoE,No,VoE,self,+ve,judgement,invoke,denial,,没有,,,contract:proclaim,是,
12:02.9,12:04.0,46,,,,Husband_W02_AH,Husband_W02_AH,[你手]机..有,nǐ shǒujī.. Yǒu n,==On your ==phone.. You did,antagonist,VoE,没有,VoE,有,reject the VE,challenge,VoE,No,VoE,antagonist,-ve,judgement,invoke,evoke,,有,,,monoglossic,,
12:04.1,12:05.5,47,,,,Wife_W02_WW,Wife_W02_WW,那你可以现在来[看],à nǐ kěyǐ xiànzài lái kàn ,Then you can come and ==check now==,antagonist,VoE,有,VoE,你来看,present the VE as questionable,challenge,VoE,No,VoE,self,+ve,judgement,invoke,directive,,,,,monoglossic,,
12:05.3,12:06.7,48,,,,Husband_W02_AH,Husband_W02_AH,[我现在]都看不到了,wǒ xiànzài dōu kàn bù dàole ,==Now I can't see== it any more,antagonist,VoE,你来看,VoE,现在看不到,present the VE as questionable,challenge,VoE,No,VoE,,,,,,,,,,,,
12:06.7,12:07.5,48,,,,,Husband_W02_AH,反正都不用说了,fǎnzhèng dōu bùyòng shuōle ,Anyway you don't need to argue,antagonist,IVoE,你来看,VoE,不用说了,reorient to an interpretation /attitudinalize the VE,reorient,IVoE,No,VoE,antagonist,-ve,judgement,invoke,denial,,不用说,up:isolated,都,contract:proclaim,反正,
12:07.5,12:08.6,48,,,,,Husband_W02_AH,[因为我],yīnwèi wǒ ,==Because I==,antagonist,,,,,,,,,,,,,,,,,,,,,
12:07.8,12:10.2,49,,,,Wife_W02_WW,Wife_W02_WW,[我都跟你]同学都..没有联系[怎么去],wǒ dū gēn nǐ tóngxué dōu.. Méiyǒu liánxì zěnme qù ,==I didn't even know ==your schoolmate.. Have no contact ==how come I posted the message,antagonist,VoE,有,IVoE,跟同学没联系,reorient to an alternative VE,reorient,VoE,Yes,VoE; IVoE,self,+ve,judgement,invoke,rhetorical question,,怎么,,,contract:proclaim,都,
12:09.3,12:13.4,50,,,,Husband_W02_AH,Husband_W02_AH,[所以说你]这个信息是从哪个地方[转过来的],suǒyǐ shuō nǐ zhège xìnxī shì cóng nǎge dìfāng zhuǎn guòlái de ,==So you tell ==where did you get ==this message==,antagonist,VoE,没联系,VoE,信息哪里来,present the VE as questionable,challenge,VoE,No,VoE,antagonist,-ve,judgement,invoke,rhetorical question,,哪里,,,contract:proclaim,所以,
