begin time,end time,turn,Overlap,Interruption,Successful interruption,turn.holder,speaker,Chinese,Pinyin,English,addressee,arguable.move,issue at stake,substance,whats offered,strategy.detail,strategy,strategy.meaning,option,option.details,target.detail,valence,attitude,explicitness,invocation.signal,trigger,attitude.realisation,graduation.detail,graduation.realisation,engagement.detail,engage.realisation,particle
13:50.6,13:54.3,73,,,,,Husband_W02_AH,当时说是去的前一天..刚好是..我们那边是下雪,dāngshí shuō shì qù de qián yītiān.. Gānghǎo shì.. Wǒmen nà biān shì xià xuě ,At that time one day before my departure.. It happened to be.. It was snowing on our area,hostess,,,,,,,,,,,,,,,,,,,,,
13:54.3,13:55.7,73,,,,,Husband_W02_AH,也是一个流感,yěshì yīgè liúgǎn ,Also there was a flu,hostess,,,,,,,,,,,,,,,,,,,,,
13:55.7,13:57.2,73,,,,,Husband_W02_AH,我得了一个流感..发烧,wǒ déliǎo yīgè liúgǎn.. Fāshāo ,I caught a flu.. a fever,hostess,,,,,,,,,,,,,,,,,,,,,
13:57.2,14:00.6,73,,,,,Husband_W02_AH,去了以后就是说..她说我去香港吧..她说手机漫游费比较贵,qùle yǐhòu jiùshì shuō.. Tā shuō wǒ qù xiānggǎng ba.. Tā shuō shǒujī mànyóu fèi bǐjiào guì ,After she went there that's to say.. She said I’ll go to Hong Kong.. She said that mobile phone roaming charges were quite expensive,hostess,,,,,,,,,,,,,,,,,,,,,
14:00.6,14:01.9,73,,,,,Husband_W02_AH,怎样的一大堆,zěnyàng de yī dà duī ,Blah blah she said a lot,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,up-scaling,,一大堆,,,monoglossic,,
14:01.9,14:03.5,73,,,,,Husband_W02_AH,我说那我也不跟你联系了,wǒ shuō nà wǒ yě bù gēn nǐ liánxìle,I said then I won't contact you anymore,hostess,,,,,,,,,,,,,,,,,,,,,
14:03.5,14:10.0,73,,,,,Husband_W02_AH,结果呢(1.4)她..回来了以后..后来我看她另外手机,Jiéguǒ ne (1.4) Tā.. Huíláile yǐhòu.. Hòulái wǒ kàn tā lìngwài shǒujī  zhè wǒ.. Wǒ xīnlǐ jiù hěn bú shūfú nǐ zěnme quèdìng duìfāng jiùshì.. Nàgè rén ne wǒ shūle.. Tā de shǒujī hàomǎ tiào chūláile,It turned out (1.4) she.. after she came back.. later I looked at her other mobile phone,hostess,,,,,,,,,,,,,,,,,,,,,
14:10.0,14:13.0,73,,,,,Husband_W02_AH,手机上是..又加..加那个男的..加进去了,shǒujī shàng shì.. Yòu jiā.. Jiā nàgè nán de.. Jiā jìnqùle ,It’s on the phone..she added again..she added that guy..as her contact,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,counter-expectancy,,又,,,contract:disclaim,结果,
14:13.0,14:15.3,73,,,,,Husband_W02_AH,改了个名字,gǎile gè míngzì,She changed his contact name,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,改名字,,,monoglossic,,
14:15.3,14:17.4,73,,,,,Husband_W02_AH,这我..我心里就很不舒服,zhè wǒ.. Wǒ xīnlǐ jiù hěn bú shūfú ,This time I.. I felt very uncomfortable in my heart,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,不舒服,up:isolated,很,contract:proclaim,就,
14:18.8,14:21.2,74,,,,Hostess_W02,Hostess_W02,你怎么确定对方就是..那个人呢,nǐ zěnme quèdìng duìfāng jiùshì.. Nàgè rén ne ,How can you be sure that the other person is... that person?,husband,,,,,,,,,,,,,,,,,,,,,
14:21.2,14:22.8,75,,,,Husband_W02_AH,Husband_W02_AH,我输了..他的手机号码,wǒ shūle.. Tā de shǒujī hàomǎ ,I typed in.. his mobile number,hostess,VoE,,,,,,,,,,,,,,,,,,,,
14:22.8,14:24.1,75,,,,,Husband_W02_AH,跳出来了,tiào chūláile,His name jumped out,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
14:24.1,14:27.5,75,,,,,Husband_W02_AH,我后来那个..跟她那个..对方的那个男人打了电话,Wǒ hòulái nàgè.. Gēn tā nàgè.. Duìfāng dì nàgè nánrén dǎle diànhuà ,I later that.. gave that..gave that man a phone call,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
14:27.5,14:29.1,75,,,,,Husband_W02_AH,他说你媳妇不是给我发了几张照片,tā shuō nǐ xífù bùshì gěi wǒ fāle jǐ zhāng zhàopiàn ,He said that your wife sent me some photos,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,monoglossic,,
14:29.1,14:30.8,75,,,,,Husband_W02_AH,那个香港玩的照片..给我,nàgè xiānggǎng wán de zhàopiàn.. Gěi wǒ ,She sent some photos of her traveling in Hong Kong.. to me,hostess,,,,,,,,,,,,,,,,,,,,,
14:30.8,14:33.4,75,,,,,Husband_W02_AH,她不是说漫游费贵吗,tā bùshì shuō mànyóu fèi guì ma ,Didn't she say that roaming fees are expensive?,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,contract:proclaim,不是……吗,吗
14:33.4,14:35.0,75,,,,,Husband_W02_AH,大家都是..为家里省钱嘛,dàjiā dōu shì.. Wéi jiālǐ shěng qián ma ,Everyone is..trying tosave money for the family,hostess,ExAss,,,,,,,,,couple,+ve,judgement,inscribe,,,为家里,,,contract:proclaim,都,嘛
14:35.0,14:37.0,75,,,,,Husband_W02_AH,结果..我还在这里生病,jiéguǒ.. Wǒ hái zài zhèlǐ shēngbìng ,It turned out I was still sick at home,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,她/我,,,contract:disclaim,结果,
14:37.0,14:38.2,75,,,,,Husband_W02_AH,我还在看店,wǒ hái zài kàn diàn,I was still operating our the store,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,她/我,,,contract:disclaim,还,
14:38.2,14:40.1,75,,,,,Husband_W02_AH,你结果不给我发信息,Nǐ jiéguǒ bù gěi wǒ fā xìnxī,It turned out that you didn't send me a message,wife,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,,,,contract:disclaim,结果,
14:40.1,14:41.5,75,,,,,Husband_W02_AH,你结果给人家发信息,Nǐ jiéguǒ jǐ rénjiā fā xìnxī,It turned out that you sent him a message,wife,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,,,,contract:disclaim,结果,
14:41.5,14:43.3,75,,,,,Husband_W02_AH,我感觉我忍受不了,Wǒ gǎnjué wǒ rěnshòu bùliǎo ,I felt I couldn't stand it,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,忍受不了,,,expand:entertain,感觉,
14:44.2,14:45.2,76,,,,Hostess_W02,Hostess_W02,刘女士,liú nǚshì ,Ms. Liu,wife,,,,,,,,,,,,,,,,,,,,,
14:45.4,14:49.5,77,,,,Wife_W02_WW,Wife_W02_WW,是的...我去香港...加了那个朋友,shì de... Wǒ qù xiānggǎng... Jiāle nàgè péngyǒu ,Yes... I went to Hong Kong... added that friend,hostess,,香港,VoE,香港,replace with an alternative VE,replace,VoE,Yes,VoE; IVoE; ExAss,self,-ve,judgement,invoke,evoke,,加了,,,contract:proclaim,是,
14:49.5,14:52.7,77,,,,,Wife_W02_WW,就..说..我在香港玩,jiù.. Shuō.. Wǒ zài xiānggǎng wán ,Just..told him..that I was traveling in Hong Kong,hostess,,,,,,,,,,,,,,,,,,,,,
14:52.7,14:54.0,77,,,,,Wife_W02_WW,也没说什么..其实,yě méi shuō shénme.. Qíshí ,I didn't say anything..actually,hostess,,,,,,,,,,self,+ve,judgement,invoke,denial,,没,,,contract:proclaim,其实,
14:54.0,14:56.6,77,,,,,Wife_W02_WW,也就在香港发了几张照片给他,yě jiù zài xiānggǎng fāle jǐ zhāng zhàopiàn gěi tā ,I also sent him a few photos about me in Hong Kong,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,发照片,down:isolated,几张,contract:disclaim,也,
14:56.6,15:03.1,77,,,,,Wife_W02_WW,回来以后...那天晚上..因为..天比较冷..一个不适应,huílái yǐhòu... Nèitiān wǎnshàng.. Yīnwèi.. Tiān bǐjiào lěng.. Yīgè bù shìyìng ,After coming back...that night..because..it was a bit cold..I might not be used to the weather,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,,,,monoglossic,,
15:03.1,15:04.6,77,,,,,Wife_W02_WW,发烧了,fāshāole ,I had a fever,hostess,,,,,,,,,,,,,,,,,,,,,
15:04.6,15:06.7,77,,,,,Wife_W02_WW,扁桃体发炎,biǎntáotǐ fāyán,I had inflamed tonsils,hostess,,,,,,,,,,,,,,,,,,,,,
15:06.7,15:07.9,77,,,,,Wife_W02_WW,一句话都说不出来,Yījù huà dōu shuō bu chūlái ,I couldn't say a word,hostess,,,,,,,,,,,,,,,,,,,,,
15:07.9,15:08.9,77,,,,,Wife_W02_WW,跟哑巴似的,gēn yǎbā shì de ,I was Like a dumb,hostess,,,,,,,,,,,,,,,,,,,,,
15:08.9,15:10.3,77,,,,,Wife_W02_WW,我就去医院了,wǒ jiù qù yīyuànle,Then I went to the hospital,hostess,,,,,,,,,,,,,,,,,,,,,
15:10.3,15:15.6,77,,,,,Wife_W02_WW,就在我前脚走..他后脚就..把我的包..全都翻了,jiù zài wǒ qiánjiǎo zǒu.. Tā hòujiǎo jiù.. Bǎ wǒ de bāo.. Quándōu fānle ,Just immediately after I left home.. He right after I left.. I searched my bag.. inside out,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,翻包,up:isolated,全都,contract:disclaim,就,
15:15.6,15:17.4,77,,,,,Wife_W02_WW,后来他就来医院了,hòulái tā jiù lái yīyuànle ,Then he came to the hospital,hostess,,,,,,,,,,,,,,,,,,,,,
15:17.4,15:20.3,77,,,,,Wife_W02_WW,来医院了..我在医院里输液了,lái yīyuànle.. Wǒ zài yīyuàn lǐ shūyèle ,When he came to the hospital.. I was having an infusion in the hospital,hostess,,,,,,,,,,,,,,,,,,,,,
15:20.3,15:23.0,77,,,,,Wife_W02_WW,我是躺着..半躺..躺在床上,wǒ shì tǎngzhe.. Bàn tǎng.. Tǎng zài chuángshàng,I was lying..half lying..lying on the bed,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,,,,monoglossic,,
15:23.0,15:26.0,77,,,,,Wife_W02_WW,他一过来就..没说什么..过来就打了,Tā yī guòlái jiù.. Méi shuō shénme.. Guòlái jiù dǎle ,As soon as he came over..he said nothing…he came over and started beating me,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,打,up:isolated,压过来就,contract:disclaim,就,
15:26.0,15:29.1,77,,,,,Wife_W02_WW,他第一个..只拿着那个手机,tā dì yī gè.. Zhǐ názhe nàgè shǒujī ,He first…he was just holding that phone,hostess,,,,,,,,,,,,,,,,,,,,,
15:29.1,15:30.2,77,,,,,Wife_W02_WW,在我胸上拍,zài wǒ xiōng shàng pāi ,He patted on my chest,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拍,,,monoglossic,,
15:30.2,15:33.5,77,,,,,Wife_W02_WW,第一句话是说...这个是谁,dì yī jù huà shì shuō... Zhège shì shéi ,The first sentence is...who is this,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,说,,,contract:proclaim,是,
15:33.5,15:34.7,77,,,,,Wife_W02_WW,他这样说的,tā zhèyàng shuō de ,He said so,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,说,,,contract:proclaim,是,
15:34.7,15:36.5,77,,,,,Wife_W02_WW,当时我也说不出来,dāngshí wǒ yě shuō bu chūlái,I couldn't speak at the time,hostess,,,,,,,,,,,,,,,,,,,,,
15:36.5,15:38.5,77,,,,,Wife_W02_WW,我当时就说了一句..你打死我吧,Wǒ dāngshí jiù shuōle yījù.. Nǐ dǎ sǐ wǒ ba,I just said one thing at the time.. You just beat me to death,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:self,,说,up:isolated,一句,contract:proclaim,就,
15:38.5,15:41.9,77,,,,,Wife_W02_WW,他当时说...你就该死在香港,Tā dāngshí shuō... Nǐ jiù gāisǐ zài xiānggǎng ,He said...you deserve to die in Hong Kong,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,他说,,,contract:proclaim,当时,
15:41.9,15:42.8,77,,,,,Wife_W02_WW,不该回来(1.9),bù gāi huílái (1.9) ,You shouldn't have come back (1.9),hostess,,,,,,,,,,,,,,,,,,,,,
15:42.8,15:46.7,77,,,,,Wife_W02_WW,就这样..我哭了,Jiù zhèyàng.. Wǒ kūle ,That's it.. I cried,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,attitudinal token,antagonist,哭,,,monoglossic,,
15:46.7,15:48.0,77,,,,,Wife_W02_WW,他放手了,tā fàngshǒule,He let me go,hostess,,,,,,,,,,,,,,,,,,,,,
15:51.5,16:04.0,77,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
16:04.0,16:06.7,78,,,,Hostess_W02,Hostess_W02,那为什么你还是要把对方加回来,Nà wèishéme nǐ háishì yào bǎ duìfāng jiā huílái ,Then why did you add the other guy as friend again,wife,,,,,,,,,,,,,,,,,,,,,
16:06.7,16:10.4,79,,,,Wife_W02_WW,Wife_W02_WW,我就觉得..嗯..是的..我就跟朋友一样,wǒ jiù juédé.. Ń.. Shì de.. Wǒ jiù gēn péngyǒu yīyàng.. ,I just think.. um.. yes.. I just considered him a friend,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,朋友,,,expand:entertain,觉得,
16:10.4,16:13.4,79,,,,,Wife_W02_WW,就加了..说一下..就是这样子,Jiù jiāle.. Shuō yīxià.. Jiùshì zhèyàng zi ,I just added him as a contact.. to have a chat.. that's it,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,加,down:isolated,一下,contract:proclaim,就,
16:13.4,16:14.5,79,,,,,Wife_W02_WW,也没什么,yě méishénme ,Nothing else,hostess,,,,,,,,,,self,+ve,judgement,invoke,denial,,没什么,,,contract:proclaim,也,
16:14.3,16:18.4,80,,,,Hostess_W02,Hostess_W02,但是你前面因为这个朋友..你们家里已经发生了这么多的问题,dànshì nǐ qiánmiàn yīnwèi zhège péngyǒu.. Nǐmen jiālǐ yǐjīng fāshēngle zhème duō de wèntí ,But in the past because of this friend... so many problems have occurred in your family,wife,,,,,,,,,,,,,,,,,,,,,
16:18.8,16:22.3,81,,,,Wife_W02_WW,Wife_W02_WW,我就..很想跟对方..说说话而已,wǒ jiù.. Hěn xiǎng gēn duìfāng.. Shuō shuōhuà éryǐ,I just..want to talk to him very much..only to have a chat,hostess,,,,,,,,,,self,+ve,judgement,invoke,attitudinal token,intruder,想,down:isolated,而已,contract:proclaim,而已,
16:22.3,16:46.1,81,,,,Voiceover,Voiceover,,,,,,,,,,,,,,,,,,,,,,,,,
16:46.1,16:50.1,82,,,,Hostess_W02,Hostess_W02,那你跟对方...在沟通的时候..是一种什么样的感觉,Nà nǐ gēn duìfāng... Zài gōutōng de shíhòu.. Shì yī zhǒng shénme yàng de gǎnjué ,What kind of feeling do you have.. when communicating.. with that guy,wife,,,,,,,,,,,,,,,,,,,,,
16:50.1,16:52.0,83,,,,Wife_W02_WW,Wife_W02_WW,人家会问候我,rénjiā huì wènhòu wǒ ,He will greet me,hostess,,,,,,,,,,intruder,+ve,judgement,inscribe,,,问候,,,monoglossic,,
16:52.0,16:54.8,83,,,,,Wife_W02_WW,比如生活上遇到挫折啊或者什么,bǐrú shēnghuó shàng yù dào cuòzhé a huòzhě shénme ,When I have things such as setbacks in life or whatsoever,hostess,,,,,,,,,,intruder,+ve,judgement,invoke,evoke,,,,,monoglossic,,
16:54.8,16:57.8,83,,,,,Wife_W02_WW,他..都会跟我..说该怎么走该怎么做,tā.. Dūhuì gēn wǒ.. Shuō gāi zěnme zǒu gāi zěnme zuò ,He.. will talk to me.. tell me how to make a decision and what to do,hostess,,,,,,,,,,intruder,+ve,judgement,invoke,quotation:other,,他说,up:isolated,都会,contract:proclaim,都,
16:57.8,16:59.7,83,,,,,Wife_W02_WW,我该怎么坚持,wǒ gāi zěnme jiānchí ,How I can continue,hostess,,,,,,,,,,intruder,+ve,judgement,invoke,quotation:other,,他说,,,monoglossic,,
16:59.7,17:00.5,83,,,,,Wife_W02_WW,这样子,zhèyàng zi ,things like this,hostess,,,,,,,,,,,,,,,,,,,,,
17:00.5,17:02.9,83,,,,,Wife_W02_WW,他说的话..都会让我坚强起来,tā shuō dehuà.. Dūhuì ràng wǒ jiānqiáng qǐlái ,What he said.. will make me strong,hostess,,,,,,,,,,intruder,+ve,judgement,inscribe,,,坚强,up:isolated,都会,contract:proclaim,都,
17:02.9,17:04.0,83,,,,,Wife_W02_WW,就这样子,jiù zhèyàng zi ,That's it,hostess,,,,,,,,,,,,,,,,,,,,,
17:04.0,17:07.4,83,,,,,Wife_W02_WW,我对他就是好像一个哥哥一样,wǒ duì tā jiùshì hǎoxiàng yīgè gēgē yīyàng ,I treat him like an elder brother,hostess,,,,,,,,,,intruder,+ve,judgement,invoke,evoke,,哥哥,,,expand:entertain,好像,
17:07.4,17:09.9,83,,,,,Wife_W02_WW,有什么...就说说心里话,yǒu shé me... Jiù shuō shuō xīnlǐ huà,If I have something in mind... I can just talk with him,hostess,,,,,,,,,,intruder,+ve,judgement,inscribe,,,说心里话,,,contract:proclaim,就,
17:10.9,17:13.0,84,,,,Hostess_W02,Hostess_W02,你跟他..不能说吗,Nǐ gēn tā.. Bùnéng shuō ma ,You and him... can't you chat with him,wife,,,,,,,,,,,,,,,,,,,,,
17:13.5,17:16.1,85,,,,Wife_W02_WW,Wife_W02_WW,我们俩...沟通不了,wǒmen liǎ... Gōutōng bùliǎo ,The two of us.. can't communicate,hostess,ExAss,,,,,,,,,couple,-ve,judgement,inscribe,,,沟通不了,,,monoglossic,,
17:16.1,17:18.9,85,,,,,Wife_W02_WW,从来有什么事..很少沟通,cónglái yǒu shé me shì.. Hěn shǎo gōutōng ,Whatever happened..there has been little communication,hostess,VoE,,,,,,,,,couple,-ve,judgement,inscribe,,,少沟通,up:isolated,从来,contract:proclaim,从来,
17:18.9,17:23.9,85,,,,,Wife_W02_WW,在他面前..我们家里..里外..都是我,zài tā miànqián.. Wǒmen jiālǐ.. Lǐ wài.. Dōu shì wǒ ,In front of him.. our house.. inside and outside.. it’s all me,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,up-scaling,,都是我,up:isolated,家里家外,contract:proclaim,都,
17:23.9,17:25.6,85,,,,,Wife_W02_WW,他..没什么上进,tā.. Méi shénme shàngjìn ,He..is not very motivated,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,没上进,down:isolated,什么,monoglossic,,
17:25.6,17:28.4,85,,,,,Wife_W02_WW,生意上..各方面..都不怎么管,shēngyì shàng.. Gè fāngmiàn.. Dōu bù zě me guǎn ,In business..everything…he doesn’t care much,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不管,down:isolated,各方面,contract:proclaim,都,
17:28.4,17:32.4,85,,,,,Wife_W02_WW,而且有什么事..跟他说..我都是跟他说,érqiě yǒu shé me shì.. Gēn tā shuō.. Wǒ dū shì gēn tā shuō ,And whatever happens.. I will tell him.. I always tell him,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,up-scaling,,跟他说,up:isolated,有什么事,contract:proclaim,而且,
17:32.4,17:35.2,85,,,,,Wife_W02_WW,他反正...不当一回事,tā fǎnzhèng... Bùdāng yī huí shì,Anyway.. he doesn't take it seriously,hostess,IVoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,不当一回事,,,contract:disclaim,反正,
17:35.5,17:37.3,86,,,,Husband_W02_AH,Husband_W02_AH,首先我是说句难听话,Shǒuxiān wǒ shì shuō jù nán tīnghuà ,First of all let me say something awkward,hostess,,,,,,,,,,,,,,,,,,,,,
17:37.3,17:38.8,86,,,,,Husband_W02_AH,我家事她掌权的,wǒ jiāshì tā zhǎngquán de ,She is in charge of our family affairs,hostess,,他不管,IVoE,她掌权,replace with an alternative interpretation,replace,IVoE,Yes,VoE; IVoE; ExAss,antagonist,-ve,judgement,invoke,evoke,,掌权,,,contract:proclaim,是……的,
17:38.8,17:41.1,86,,,,,Husband_W02_AH,不是我掌权,bùshì wǒ zhǎngquán ,I'm not in power,hostess,,,,,,,,,,self,+ve,judgement,invoke,denial,,不是,,,monoglossic,,
17:41.1,17:43.2,86,,,,,Husband_W02_AH,所有的事情...她说了算,suǒyǒu de shìqíng... Tā shuōle suàn ,Everything... she has the final say,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,她说了算,up:isolated,所有事,contract:proclaim,所有,
17:43.2,17:45.0,86,,,,,Husband_W02_AH,以她为中心,yǐ tā wéi zhōngxīn ,She is the center,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,evoke,,,,,monoglossic,,
17:45.0,17:48.4,86,,,,,Husband_W02_AH,很多事情..即使我去做了...她不认可,hěnduō shìqíng.. Jíshǐ wǒ qù zuòle... Tā bù rènkě ,Many things.. even if I go and do it... she would not satisfy,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,不,up:isolated,很多事,contract:disclaim,即使……也,
17:48.4,17:49.5,86,,,,,Husband_W02_AH,还是没用,háishì méi yòng ,Still useless,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,denial,,没,,,contract:disclaim,还是,
17:49.8,17:53.7,87,,,,Hostess_W02,Hostess_W02,刚刚..刘女士说..她付出的更多..未来这个家,gānggāng.. Liú nǚshì shuō.. Tā fùchū de gèng duō.. Wèilái zhège jiā ,Just now.. Ms. Liu said.. She has contributed more..to this home in the future,husband,,,,,,,,,,,,,,,,,,,,,
17:53.7,17:57.6,88,,,,Husband_W02_AH,Husband_W02_AH,这话..她所说的啊...她需要的是..话语...感觉,zhè huà.. Tā suǒ shuō de a... Tā xūyào de shì.. Huàyǔ... Gǎnjué ,That being said..what she said... what she needs is.. the right to speak... I feel,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,contrast,,她/我,,,expand:entertain,感觉,
17:57.6,17:59.3,88,,,,,Husband_W02_AH,我是实际行动..感觉,wǒ shì shíjì xíngdòng.. Gǎnjué,I am actually doing real action…I feel,hostess,,,,,,,,,,self,+ve,judgement,inscribe,,,实际行动,,,expand:entertain,感觉,
17:59.3,18:01.7,88,,,,,Husband_W02_AH,一天三顿饭..都是我做,Yītiān sān dùn fàn.. Dōu shì wǒ zuò,Three meals a day...I cook them all,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,做饭,up:isolated,一天三顿饭,contract:proclaim,都,
18:01.7,18:03.8,88,,,,,Husband_W02_AH,碗筷都是我洗的,Wǎn kuài dōu shì wǒ xǐ de ,I am the person who wash the dishes,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,洗碗,,,contract:proclaim,都,
18:03.8,18:05.2,88,,,,,Husband_W02_AH,甚至我也洗洗衣服,shènzhì wǒ yě xǐ xǐ yīfú ,Even I wash clothes,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,洗衣粉,,,contract:disclaim,甚至,
18:05.2,18:06.6,88,,,,,Husband_W02_AH,店里拿拿货,diàn lǐ ná ná huò ,I unload the goods in the store,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,拿货,,,monoglossic,,
18:06.6,18:08.2,88,,,,,Husband_W02_AH,清清货..扛扛货,qīng qīng huò.. Káng káng huò ,I check the stock..I carry the goods,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,扛货,,,monoglossic,,
18:08.2,18:09.1,88,,,,,Husband_W02_AH,送送货,sòng sòng huò ,I deliver the goods,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,送货,,,monoglossic,,
18:09.1,18:11.6,88,,,,,Husband_W02_AH,这些...都需要一个人去维护,zhèxiē... Dōu xūyào yīgè rén qù wéihù ,These...all need to be maintained by one person,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,维护,up:isolated,这些都,contract:proclaim,都,
18:12.7,18:19.3,89,,,,Hostess_W02,Hostess_W02,在情感交流上..或者说..在于她内心的这种需求上你觉得...你能够去做得到吗,zài qínggǎn jiāoliú shàng.. Huòzhě shuō.. Zàiyú tā nèixīn de zhè zhǒng xūqiú shàng nǐ juédé... Nǐ nénggòu qù zuò dédào ma ,In terms of emotional communication.. or rather.. in terms of her spiritual needs do you think.. can you do it,husband,,,,,,,,,,,,,,,,,,,,,
18:19.3,18:20.7,90,,,,Husband_W02_AH,Husband_W02_AH,其实一样的,qíshí yīyàng de ,Actually it's the same,hostess,,,,,,,,,,self,+ve,judgement,invoke,evoke,,一样,,,contract:proclaim,其实,
18:19.9,18:20.5,91,,,,Hostess_W02,Hostess_W02,做过吗,zuòguò ma,Have you done it,husband,,,,,,,,,,,,,,,,,,,,,
18:20.7,18:22.9,92,,,,Husband_W02_AH,Husband_W02_AH,很多事情..我也想做,Hěnduō shìqíng.. Wǒ yě xiǎng zuò,Many things.. I also want to do,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,想做,,,contract:proclaim,也,
18:22.9,18:24.2,92,,,,,Husband_W02_AH,也想维护,Yě xiǎng wéihù,Also want to maintain,hostess,IVoE,,,,,,,,,self,+ve,judgement,invoke,irrealis Affect,,想维护,,,contract:proclaim,也,
18:24.2,18:25.2,92,,,,,Husband_W02_AH,说句很简单的话,Shuō jù hěn jiǎndān dehuà ,To say something very simple,hostess,,,,,,,,,,,,,,,,,,,,,
18:25.2,18:32.0,92,,,,,Husband_W02_AH,我们..到现在为止...几乎说...她的心对我说是..心里感觉..好像很封闭的感觉,wǒmen.. Dào xiànzài wéizhǐ... Jīhū shuō... Tā de xīn duì wǒ shuō shì.. Xīnlǐ gǎnjué.. Hǎoxiàng hěn fēngbì de gǎnjué ,We..until now... that's to say... her heart to me..I feel.. I feel her heart is closed to me,hostess,ExAss,,,,,,,,,antagonist,-ve,judgement,inscribe,,,封闭,up:isolated,很,expand:entertain,感觉,
18:32.0,18:34.8,92,,,,,Husband_W02_AH,甚至说是我们出去..手拉手出去,shènzhì shuō shì wǒmen chūqù.. Shǒu lāshǒu chūqù ,Even let's ay that if we go out.. If I want to go out hand in hand,hostess,VoE,,,,,,,,,,,,,,,,,,,,
18:34.8,18:36.6,92,,,,,Husband_W02_AH,还要她说..不要手拉手,hái yào tā shuō.. Bùyào shǒu lāshǒu ,She would say..don't hold hands,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,她说,,,contract:disclaim,甚至,
18:36.6,18:38.5,92,,,,,Husband_W02_AH,人家弄得多难看,rénjiā nòng dé duō nàn kàn ,How embarrassing it is,hostess,,,,,,,,,,antagonist,-ve,judgement,invoke,quotation:other,,她说,,,contract:disclaim,甚至,
18:38.5,18:39.7,92,,,,,Husband_W02_AH,一直..拒绝,yīzhí.. Jùjué nǐ ,She always..refuses me,hostess,VoE,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拒绝,up:isolated,一直,monoglossic,,
18:39.7,18:41.4,92,,,,,Husband_W02_AH,你一拒绝一次两次三次,yī jùjué yīcì liǎng cì sāncì ,You refuse me once twice and three times,hostess,,,,,,,,,,antagonist,-ve,judgement,inscribe,,,拒绝,up:isolated,一次两次,monoglossic,,
18:41.4,18:43.0,92,,,,,Husband_W02_AH,第四次第五次我肯定不会去做了,dì sì cì dì wǔ cì wǒ kěndìng bù huì qù zuòle,I will definitely not do it for the fourth and the fifth time ,hostess,VoE,,,,,,,,,self,+ve,judgement,invoke,denial,,不,,,contract:proclaim,肯定,
